raster,raster_cloud,match,raster_path,raster_cloud_path,clouds-on-roi,clouds-on-roi-minimal,raster_crs,count-on-roi-minimal-ndwi,count-on-roi-minimal-mndwi,ndwi_path,mask_ndwi_path,mndwi_path,mask_mndwi_path,threshold_value
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20150826_20170405_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20150826_20170405_01_T1_CLOUDS_idx.TIF,4.69610156162229,0.0,EPSG:32719,237,140,./products/images-crop/LC08_L1TP_231089_20150826_20170405_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20150826_20170405_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20150826_20170405_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20150826_20170405_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20150911_20170404_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20150911_20170404_01_T1_CLOUDS_idx.TIF,72.21660487585665,100.0,EPSG:32719,0,0,./products/images-crop/LC08_L1TP_231089_20150911_20170404_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20150911_20170404_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20150911_20170404_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20150911_20170404_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20150927_20170403_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20150927_20170403_01_T1_CLOUDS_idx.TIF,82.09751713290642,100.0,EPSG:32719,359,186,./products/images-crop/LC08_L1TP_231089_20150927_20170403_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20150927_20170403_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20150927_20170403_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20150927_20170403_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20151013_20170403_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20151013_20170403_01_T1_CLOUDS_idx.TIF,100.0,100.0,EPSG:32719,0,0,./products/images-crop/LC08_L1TP_231089_20151013_20170403_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151013_20170403_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20151013_20170403_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151013_20170403_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20151029_20170402_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20151029_20170402_01_T1_CLOUDS_idx.TIF,3.1681833501853727,0.0,EPSG:32719,0,132,./products/images-crop/LC08_L1TP_231089_20151029_20170402_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151029_20170402_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20151029_20170402_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151029_20170402_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20151114_20170402_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20151114_20170402_01_T1_CLOUDS_idx.TIF,100.0,100.0,EPSG:32719,0,0,./products/images-crop/LC08_L1TP_231089_20151114_20170402_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151114_20170402_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20151114_20170402_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151114_20170402_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20151130_20170401_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20151130_20170401_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,1,132,./products/images-crop/LC08_L1TP_231089_20151130_20170401_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151130_20170401_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20151130_20170401_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151130_20170401_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20151216_20170331_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20151216_20170331_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,0,113,./products/images-crop/LC08_L1TP_231089_20151216_20170331_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151216_20170331_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20151216_20170331_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20151216_20170331_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160101_20170404_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160101_20170404_01_T1_CLOUDS_idx.TIF,100.0,100.0,EPSG:32719,0,0,./products/images-crop/LC08_L1TP_231089_20160101_20170404_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160101_20170404_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160101_20170404_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160101_20170404_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160117_20170405_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160117_20170405_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,1,52,./products/images-crop/LC08_L1TP_231089_20160117_20170405_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160117_20170405_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160117_20170405_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160117_20170405_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160202_20170330_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160202_20170330_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,3,0,./products/images-crop/LC08_L1TP_231089_20160202_20170330_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160202_20170330_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160202_20170330_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160202_20170330_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160218_20170329_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160218_20170329_01_T1_CLOUDS_idx.TIF,99.97191326817212,100.0,EPSG:32719,0,0,./products/images-crop/LC08_L1TP_231089_20160218_20170329_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160218_20170329_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160218_20170329_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160218_20170329_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160305_20170328_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160305_20170328_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,3,0,./products/images-crop/LC08_L1TP_231089_20160305_20170328_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160305_20170328_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160305_20170328_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160305_20170328_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160321_20170327_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160321_20170327_01_T1_CLOUDS_idx.TIF,0.016852039096730706,0.41551246537396125,EPSG:32719,4,0,./products/images-crop/LC08_L1TP_231089_20160321_20170327_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160321_20170327_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160321_20170327_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160321_20170327_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160609_20170324_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160609_20170324_01_T1_CLOUDS_idx.TIF,100.0,100.0,EPSG:32719,0,0,./products/images-crop/LC08_L1TP_231089_20160609_20170324_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160609_20170324_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160609_20170324_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160609_20170324_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160625_20170323_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160625_20170323_01_T1_CLOUDS_idx.TIF,0.4493877092461521,0.2770083102493075,EPSG:32719,187,121,./products/images-crop/LC08_L1TP_231089_20160625_20170323_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160625_20170323_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160625_20170323_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160625_20170323_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160711_20170323_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160711_20170323_01_T1_CLOUDS_idx.TIF,6.274575890349398,0.0,EPSG:32719,551,282,./products/images-crop/LC08_L1TP_231089_20160711_20170323_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160711_20170323_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160711_20170323_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160711_20170323_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160828_20170321_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160828_20170321_01_T1_CLOUDS_idx.TIF,85.15335355578026,99.7229916897507,EPSG:32719,2,0,./products/images-crop/LC08_L1TP_231089_20160828_20170321_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160828_20170321_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160828_20170321_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160828_20170321_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LC08_L1TP_231089_20160913_20170321_01_T1_idx.TIF,./products/images-crop/LC08_L1TP_231089_20160913_20170321_01_T1_CLOUDS_idx.TIF,97.86540838108078,100.0,EPSG:32719,0,0,./products/images-crop/LC08_L1TP_231089_20160913_20170321_01_T1_idx-NDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160913_20170321_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LC08_L1TP_231089_20160913_20170321_01_T1_idx-MNDWI.TIF,./products/images-crop/LC08_L1TP_231089_20160913_20170321_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
