product-id,base-url,date,clouds
LC08_L1TP_231089_20210522_20210529_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210522_20210529_01_T1,2021-05-22,8.03
LC08_L1TP_231089_20210607_20210615_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210607_20210615_01_T1,2021-06-07,66.92
LC08_L1TP_231089_20210725_20210803_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210725_20210803_01_T1,2021-07-25,74.75
LC08_L1TP_231089_20210810_20210819_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210810_20210819_01_T1,2021-08-10,2.49
LC08_L1TP_231089_20170730_20170811_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170730_20170811_01_T1,2017-07-30,0.58
LC08_L1TP_231089_20170815_20170825_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170815_20170825_01_T1,2017-08-15,11.13
LC08_L1TP_231089_20170916_20170929_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170916_20170929_01_T1,2017-09-16,15.85
LC08_L1TP_231089_20171018_20171025_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20171018_20171025_01_T1,2017-10-18,25.29
LC08_L1TP_231089_20171103_20171109_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20171103_20171109_01_T1,2017-11-03,29.23
LC08_L1TP_231089_20171119_20171205_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20171119_20171205_01_T1,2017-11-19,9.8
LC08_L1TP_231089_20171205_20171222_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20171205_20171222_01_T1,2017-12-05,10.28
LC08_L1TP_231089_20180122_20180206_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180122_20180206_01_T1,2018-01-22,0.11
LC08_L1TP_231089_20180207_20180221_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180207_20180221_01_T1,2018-02-07,1.05
LC08_L1TP_231089_20180223_20180308_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180223_20180308_01_T1,2018-02-23,38.71
